name,latitude,longitude,city,region,cuisine,Price Range,Restauarant Website,michelin_stars
Kwonsooksoo,37.526752,127.03571,Seoul,South Korea,Korean,"105,000 - 240,000 KRW",https://www.kwonsooksoo.com/,2
Mingles,37.52219,127.0392,Seoul,South Korea,Korean contemporary,"120,000 - 220,000 KRW",http://www.restaurant-mingles.com/,2
Alla Prima,37.51844,127.03008,Seoul,South Korea,Innovative,,,2
Waku Ghin,1.283175,103.8598,Singapore,Singapore,Japanese contemporary,550 - 700 SGD,https://www.marinabaysands.com/,2
Odette,1.2896459,103.8516,Singapore,Singapore,French contemporary,,,2
Shoukouwa,1.2863698,103.854,Singapore,Singapore,Sushi,320 - 650 SGD,https://www.shoukouwa.com.sg/,2
Shisen Hanten,1.302395,103.8365,Singapore,Singapore,Chinese,50 - 150 SGD,https://www.shisenhanten.com.sg/,2
Les Amis,1.3066648,103.8314,Singapore,Singapore,French,,,2
Fäviken Magasinet,63.43626,13.29337,Järpen,Sweden,Creative,,,2
Gastrologik,59.33365,18.0807,Stockholm,Sweden,Creative,,,2
Oaxen Krog,59.322342,18.101831,Stockholm,Sweden,Creative,,,2
Vollmers,55.604427,12.995848,Malmö,Sweden,Creative,,,2
Daniel Berlin,55.61246,13.99265,Skåne-Tranås,Sweden,Creative,,,2
RAW,25.082666,121.559525,Taipei,Taipei,Innovative,,,2
Shoun RyuGin,25.08258,121.5595,Taipei,Taipei,Japanese contemporary,,,2
Taïrroir,25.082718,121.559296,Taipei,Taipei,Innovative,"2,180 - 4,680 TWD",https://www.tairroir.com/,2
Sushi Amamoto,25.037945,121.55487,Taipei,Taipei,Sushi,"3,000 - 5,000 TWD",,2
The Guest House,25.04486,121.52198,Taipei,Taipei,Sichuan-Huai Yang,"1,200 - 4,280 TWD",https://www.sheratongrandtaipei.com/,2
Gaggan,13.737679,100.542145,Bangkok,Thailand,Innovative,,,2
Sühring,13.710947,100.545654,Bangkok,Thailand,European contemporary,"3,500 - 5,500 THB",https://www.restaurantsuhring.com/,2
Mezzaluna,13.722148,100.51691,Bangkok,Thailand,Innovative,"6,500 THB",https://www.lebua.com/mezzaluna,2
Le Normandie,13.723197,100.513855,Bangkok,Thailand,French contemporary,"3,200 - 8,200 THB",https://www.mandarinoriental.com/bangkok,2
minibar,38.896294,-77.02386,"Washington, D.C.",Washington DC,Contemporary,295 USD,https://www.minibarbyjoseandres.com/,2
Pineapple and Pearls,38.880707,-76.99514,"Washington, D.C.",Washington DC,Contemporary,150 - 325 USD,https://www.pineappleandpearls.com/,2
Andrew Fairlie at Gleneagles,56.28339,-3.75149,Auchterarder,United Kingdom,Creative French,115 - 155 GBP,https://www.andrewfairlie.co.uk/,2
L'Enclume,54.201885,-2.953807,Cartmel,United Kingdom,Creative,79 - 175 GBP,https://www.lenclume.co.uk/,2
Raby Hunt,54.56647,-1.689258,Summerhouse,United Kingdom,Modern British,230 - 300 GBP,https://www.rabyhuntrestaurant.co.uk/,2
Moor Hall,53.54162,-2.8895495,Aughton,United Kingdom,Modern British,95 - 195 GBP,https://www.moorhall.com/,2
Restaurant Sat Bains,52.92438,-1.1733198,Nottingham,United Kingdom,Creative,120 - 155 GBP,https://www.restaurantsatbains.com/,2
Restaurant Nathan Outlaw,50.594086,-4.82854,Port Isaac,United Kingdom,Seafood,,,2
Belmond Le Manoir aux Quat' Saisons,51.71674,-1.09187,Great Milton,United Kingdom,French,,,2
Midsummer House,52.21243,0.12779,Cambridge,United Kingdom,Modern cuisine,115 - 230 GBP,www.midsummerhouse.co.uk/,2
Hand and Flowers,51.57031,-0.78113,Marlow,United Kingdom,Modern British,40 - 115 GBP,https://www.thehandandflowers.co.uk/,2
Ledbury,51.51674,-0.20007,North Kensington,United Kingdom,Modern cuisine,,,2
CORE by Clare Smyth,51.51261,-0.2030516,North Kensington,United Kingdom,Modern British,,,2
Le Gavroche,51.51127,-0.15517,Mayfair,United Kingdom,French,85 - 178 GBP,https://www.le-gavroche.co.uk/,2
Kitchen Table at Bubbledogs,51.52041,-0.13647,Bloomsbury,United Kingdom,Modern cuisine,,,2
Hélène Darroze at The Connaught,51.5101,-0.1495701,Mayfair,United Kingdom,Modern cuisine,,,2
Dinner by Heston Blumenthal,51.50208,-0.16011,Hyde Park,United Kingdom,Traditional British,87 - 106 GBP,https://www.dinnerbyheston.com/,2
Umu,51.5113,-0.14455,Mayfair,United Kingdom,Japanese,,,2
Sketch (The Lecture Room & Library),51.51287,-0.14136,Mayfair,United Kingdom,Modern French,,,2
Greenhouse,51.50769,-0.14926,Mayfair,United Kingdom,Creative,,,2
Claude Bosi at Bibendum,51.49341,-0.1690893,Chelsea,United Kingdom,French,105 - 175 GBP,https://www.claudebosi.com/,2
