,name,latitude,longitude,city,region,cuisine,url,michelin_stars
0,Kilian Stuba,47.34858,10.17114,Kleinwalsertal,Austria,Creative,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,1
1,Pfefferschiff,47.83787,13.07917,Hallwang,Austria,Classic cuisine,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,1
2,Esszimmer,47.80685,13.034089999999999,Salzburg,Austria,Creative,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,1
3,Carpe Diem,47.80001,13.04006,Salzburg,Austria,Market cuisine,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,1
4,Edvard,48.216503,16.36852,Wien,Austria,Modern cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,1
5,Das Loft,48.212720000000004,16.37931,Wien,Austria,Modern cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,1
6,Pramerl & the Wolf,48.20945,16.37174,Wien,Austria,Creative,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,1
7,Walter Bauer,48.20923,16.376720000000002,Wien,Austria,Classic cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,1
8,SHIKI,48.204066999999995,16.37098,Wien,Austria,Japanese,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,1
9,Tian,48.20513,16.37456,Wien,Austria,Vegetarian,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,1
10,aend,48.18957,16.34115,Wien,Austria,Modern cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,1
11,Le Ciel by Toni Mörwald,48.202090000000005,16.371560000000002,Wien,Austria,Classic cuisine,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,1
12,Chez TJ,37.39468,-122.08044,South San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj,1
13,Protégé,37.427853000000006,-122.14362,South San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege,1
14,Madera,37.42014,-122.21151,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera,1
15,The Village Pub,37.42897,-122.25178000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub,1
16,Plumed Horse,37.256479999999996,-122.03537,South San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse,1
17,Wakuriya,37.52114,-122.3366,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya,1
18,Sushi Yoshizumi,37.565075,-122.3211,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi,1
19,Rasa,37.577521999999995,-122.34598500000001,San Francisco,California,Indian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa,1
20,Maum,37.726690000000005,-122.41421499999998,South San Francisco,California,Korean,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum,1
21,Al's Place,37.748924,-122.42013,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place,1
22,Aster,37.755054,-122.423134,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/aster,1
23,Omakase,37.77077,-122.40298,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/omakase,1
24,Commonwealth,37.761395,-122.41946000000002,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commonwealth,1
25,Luce,37.781940000000006,-122.40498000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce,1
26,Birdsong,37.779495000000004,-122.41048,San Francisco,California,American,https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong,1
27,In Situ,37.785633000000004,-122.40113000000001,San Francisco,California,International,https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ,1
28,Mourad,37.78695,-122.39986999999999,San Francisco,California,Moroccan,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mourad,1
29,Hashiri,37.783062,-122.40754,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri,1
30,Angler,37.793167,-122.39213000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/angler,1
31,Rich Table,37.774914,-122.42271000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rich-table,1
32,Kin Khao,37.785267,-122.40951000000001,San Francisco,California,Thai,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao,1
33,Michael Mina,37.793490000000006,-122.399574,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/michael-mina,1
34,Sons & Daughters,37.79037,-122.40916999999999,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters,1
35,Mister Jiu's,37.79371,-122.406654,San Francisco,California,Chinese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius,1
36,Nico,37.795803,-122.40333000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/nico,1
37,jū-ni,37.776720000000005,-122.43886,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni,1
38,Keiko à Nob Hill,37.793106,-122.41445,San Francisco,California,Fusion,https://guide.michelin.com/us/en/california/san-francisco/restaurant/keiko-a-nob-hill,1
