ICAO_Code,Airport_Name,City_Town,Country,Latitude_Decimal_Degrees,Longitude_Decimal_Degrees
LPAR,ALVERCA,ALVERCA,ACORES,38.883,-9.03
LPAZ,SANTA MARIA,SANTA MARIA (ISLAND),ACORES,36.971,-25.171
LPBG,BRAGANCA,BRAGANCA,ACORES,41.868,-6.712000000000001
LPBJ,BEJA,BEJA (MADEIRA),ACORES,38.079,-7.932
LPBR,BRAGA,BRAGA,ACORES,41.586999999999996,-8.445
LPCO,COIMBRA,COIMBA,ACORES,40.157,-8.47
LPCS,CASCAIS,CASCAIS,ACORES,38.725,-9.355
LPCV,COVILHA,COVILHA,ACORES,40.265,-7.48
LPEV,EVORA,EVORA,ACORES,38.533,-7.888999999999999
LPFL,FLORES,FLORES (FLORES ISL.),ACORES,39.455,-31.131
LPFR,FARO,FARO,ACORES,37.014,-7.966
LPGR,GRACIOSA,GRACIOSA ISLAND,ACORES,39.092,-28.03
LPHR,HORTA,HORTA,ACORES,38.52,-28.715999999999998
LPIN,ESPINHO,ESPINHO,PORTUGAL,40.974,-8.645
LPLA,LAJES,LAJES (TERCEIRA ISLAND),ACORES,38.764,-27.093000000000004
LPMG,LISBON MET OFFICE,LISBON,PORTUGAL,38.717,-9.156
LPMR,MONTE REAL,MONTE REAL,ACORES,39.830999999999996,-8.887
LPMT,MONTIJO,MONTIJO,ACORES,38.704,-9.036
LPOV,OVAR,OVAR,PORTUGAL,40.916,-8.646
LPPD,PONTA DELGADA,PONTA DELGADA,ACORES,37.741,-25.698
LPPI,PICO,PICO,ACORES,38.554,-28.44
LPPM,PORTIMAO,PORTIMAO,ACORES,37.149,-8.584
LPPR,PORTO,PORTO,ACORES,41.248000000000005,-8.681000000000001
LPPS,PORTO SANTO,PORTO SANTO,MADEIRA,33.073,-16.35
LPPT,LISBOA,LISBON,PORTUGAL,38.781,-9.136000000000001
LPSJ,SAO JORGE,SAO JORGE ISLAND,ACORES,38.665,-28.176
LPST,SINTRA,SINTRA,ACORES,38.830999999999996,-9.339
LPTN,TANCOS,TANCOS,ACORES,39.475,-8.363999999999999
LPVR,VILA REAL,VILA REAL,ACORES,41.273999999999994,-7.72
LPVZ,VISEU,VISEU,ACORES,40.725,-7.888999999999999
LQBK,BANJA LUKA,BANJA LUKA,BOSNIA-HERCEGOVINA,44.941,17.298
LQMO,MOSTAR,MOSTAR,BOSNIA-HERCEGOVINA,43.283,17.846
LQSA,SARAJEVO,SARAJEVO,BOSNIA-HERCEGOVINA,43.824,18.331
LRAR,ARAD,ARAD,ROMANIA,46.176,21.261999999999997
LRBC,BACAU,BACAU,ROMANIA,46.522,26.91
LRBM,TAUTII MAGHERAUS,BAIA MARE,ROMANIA,47.658,23.47
LRBS,BANEASA,BUCHAREST,ROMANIA,44.503,26.101999999999997
LRCK,MIHAIL KOGALNICEANU,CONSTANTA,ROMANIA,44.361999999999995,28.488000000000003
LRCL,SOMESENI,CLUJ-NAPOCA,ROMANIA,46.785,23.686
LRCS,CARANSEBES,CARANSEBES,ROMANIA,45.42,22.253
LRCV,CRAIOVA,CRAIOVA,ROMANIA,44.318000000000005,23.889
LRIA,IASI,IASI,ROMANIA,47.178999999999995,27.62
LROD,ORADEA,ORADEA,ROMANIA,47.025,21.901999999999997
LROP,OTOPENI,BUCHAREST,ROMANIA,44.574,26.103
LRSB,SIBIU,SIBIU,ROMANIA,45.786,24.090999999999998
LRSM,SATU MARE,SATU MARE,ROMANIA,47.703,22.886
LRSV,SALCEA,SUCEAVA,ROMANIA,47.688,26.354
LRTC,CATALOI,TULCEA,ROMANIA,45.062,28.714000000000002
LRTM,VIDRASAU,TIRGU MURES,ROMANIA,46.468,24.412
LRTR,GIARMATA,TIMISOARA,ROMANIA,45.81,21.338
LSAZ,REICHENBACH,ZURICH AREA,SWITZERLAND,46.614,7.678
LSGC,LES EPLATURES,LES EPLATURES,SWITZERLAND,47.083999999999996,6.792999999999999
LSGG,GENEVA COINTRIN,GENEVA,SWITZERLAND,46.238,6.109
LSGK,SAANEN,SAANEN,SWITZERLAND,46.488,7.251
LSGS,SION,SION,SWITZERLAND,46.218999999999994,7.327000000000001
LSMA,ALPNACH,ALPNACH,SWITZERLAND,46.943999999999996,8.283999999999999
LSMC,ULRICHEN,ULRICHEN,SWITZERLAND,46.501000000000005,8.296
LSMD,DUBENDORF,DUBENDORF,SWITZERLAND,47.398999999999994,8.648
LSME,EMMEN,EMMEN,SWITZERLAND,47.092,8.305
LSMF,MOLLIS,MOLLIS,SWITZERLAND,47.07899999999999,9.065
LSMI,INTERLAKEN,INTERLAKEN,SWITZERLAND,46.676,7.879
LSMJ,TURTMANN,TURTMANN,SWITZERLAND,46.303999999999995,7.7139999999999995
LSMM,MEIRINGEN,MEIRINGEN,SWITZERLAND,46.743,8.11
LSMN,RARON,RARON,SWITZERLAND,46.303999999999995,7.8229999999999995
LSMP,PAYERNE,PAYERNE,SWITZERLAND,46.843,6.915
LSMU,BUOCHS AIRPORT,BUOCHS,SWITZERLAND,46.975,8.399
LSSW,ZURICH MET,ZURICH,SWITZERLAND,47.383,8.567
LSZA,LUGANO,LUGANO,SWITZERLAND,46.004,8.911
LSZB,BERN BELP,BERN,SWITZERLAND,46.913999999999994,7.497000000000001
LSZG,GRENCHEN,GRENCHEN,SWITZERLAND,47.181000000000004,7.417000000000001
LSZH,ZURICH,ZURICH,SWITZERLAND,47.465,8.549
LSZR,ST GALLEN ALTENRHEIN,ALTENRHEIN,SWITZERLAND,47.485,9.561
LSZS,SAMEDAN,SAMEDAN,SWITZERLAND,46.532,9.883
LTAA,ANKARA ACC,ANKARA ACC/FIR/FIC,TURKEY,40.0,32.0
LTAB,GUVERCINLIK,ANKARA,TURKEY,39.935,32.741
LTAC,ESENBOGA,ANKARA,TURKEY,40.128,32.995
LTAD,ETIMESGUT,ANKARA,TURKEY,39.95,32.689
LTAE,AKINCI,ANKARA,TURKEY,40.079,32.566
LTAF,ADANA,ADANA,TURKEY,36.982,35.28
LTAG,INCIRLIK AB,ADANA,TURKEY,37.001999999999995,35.426
LTAH,AFYON,AFYON,TURKEY,38.726,30.601
LTAI,ANTALYA,ANTALYA,TURKEY,36.900999999999996,30.791999999999998
LTAJ,OGUZELI,GAZIANTEP,TURKEY,36.948,37.479
LTAK,ISKENDERUN,ISKENDERUN,TURKEY,36.573,36.154
LTAL,KASTAMONU,KASTAMONU,TURKEY,41.31399999999999,33.796
LTAN,KONYA,KONYA,TURKEY,37.979,32.562
LTAP,MERZIFON,MERZIFON,TURKEY,40.829,35.522
LTAQ,SAMSUN AIRPORT,SAMSUN,TURKEY,41.276,36.304
LTAR,SIVAS,SIVAS,TURKEY,39.814,36.903
LTAS,CAYCUMA,ZONGULDAK,TURKEY,41.516000000000005,32.1
LTAT,ERHAC,MALATYA,TURKEY,38.436,38.092
LTAU,ERKILET,KAYSERI,TURKEY,38.77,35.495
LTAV,SIVRIHISAR,SIVRIHISAR,TURKEY,39.451,31.365
LTAW,TOKAT,TOKAT,TURKEY,40.305,36.368
LTAX,ERDEMIR,EREGLI,TURKEY,41.254,31.415
