ICAO_Code,Airport_Name,City_Town,Country,Latitude_Decimal_Degrees,Longitude_Decimal_Degrees
AYMD,MADANG,MADANG,PAPUA NEW GUINEA,-5.207000000000001,145.789
AYMH,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,-5.8260000000000005,144.296
AYNZ,NADZAB,NADZAB,PAPUA NEW GUINEA,-6.57,146.726
AYPY,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,-9.443,147.22
AYWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,-3.5839999999999996,143.66899999999998
BGBW,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,61.161,-45.427
BGCO,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,70.73899999999999,-22.646
BGGH,NUUK,GODTHAAB,GREENLAND,64.191,-51.678000000000004
BGJN,JACOBSHAVN,JAKOBSHAVN,GREENLAND,69.233,-51.067
BGKK,KULUSUK,KULUSUK,GREENLAND,65.583,-37.15
BGSF,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,GREENLAND,67.017,-50.68899999999999
BGTL,THULE AIR BASE,THULE,GREENLAND,76.531,-68.703
BIAR,AKUREYRI,AKUREYRI,ICELAND,65.66,-18.072
BIEG,EGILSSTADIR,EGILSSTADIR,ICELAND,65.283,-14.401
BIHN,HORNAFJORDUR,HOFN,ICELAND,64.296,-15.227
BIHU,HUSAVIK,HUSAVIK,ICELAND,65.952,-17.426
BIIS,ISAFJORDUR,ISAFJORDUR,ICELAND,66.058,-23.135
BIKF,KEFLAVIK NAS,KEFLAVIK,ICELAND,63.985,-22.605999999999998
BIKP,KOPASKER,KOPASKER,ICELAND,66.314,-16.461
BIPA,PATREKSFJORDUR,PATREKSFJORDUR,ICELAND,65.556,-23.965
BIRK,REYKJAVIK,REYKJAVIK,ICELAND,64.13,-21.941
BISI,SIGLUFJORDHUR,SIGLUFJORDUR,ICELAND,66.133,-18.917
BIVM,VESTMANNAEYJAR,VESTMANNAEYJAR,ICELAND,63.424,-20.279
CYAM,SAULT STE MARIE,SAULT SAINTE MARIE,CANADA,46.485,-84.509
CYAV,WINNIPEG ST ANDREWS,WINNIPEG,CANADA,50.056000000000004,-97.03200000000001
CYAW,SHEARWATER,HALIFAX,CANADA,44.64,-63.498999999999995
CYAY,ST ANTHONY,ST. ANTHONY,CANADA,51.391999999999996,-56.083999999999996
CYAZ,TOFINO,TOFINO,CANADA,49.082,-125.772
CYBB,KUGAARUK,PELLY BAY,CANADA,68.53399999999999,-89.80799999999999
CYBC,BAIE COMEAU,BAIE COMEAU,CANADA,49.132,-68.207
CYBG,BAGOTVILLE,BAGOTVILLE,CANADA,48.331,-70.99600000000001
CYBK,BAKER LAKE,BAKER LAKE,CANADA,64.29899999999999,-96.07799999999999
CYBL,CAMPBELL RIVER,CAMPBELL RIVER,CANADA,49.951,-125.271
CYBR,BRANDON MUNI,BRANDON,CANADA,49.91,-99.95200000000001
CYCB,CAMBRIDGE BAY,CAMBRIDGE BAY,CANADA,69.108,-105.13799999999999
CYCD,NANAIMO,NANAIMO,CANADA,49.052,-123.87
CYCG,CASTLEGAR,CASTLEGAR,CANADA,49.29600000000001,-117.632
CYCH,MIRAMICHI,CHATHAM,CANADA,47.008,-65.449
CYCL,CHARLO,CHARLO,CANADA,47.99100000000001,-66.331
CYCO,KUGLUKTUK,COPPERMINE,CANADA,67.817,-115.14399999999999
CYCT,CORONATION,CORONATION,CANADA,52.075,-111.445
CYCW,CHILLIWACK,CHILLIWACK,CANADA,49.153,-121.939
CYCY,CLYDE RIVER,CLYDE RIVER,CANADA,70.486,-68.517
CYCZ,FAIRMONT HOT SPRINGS,CORAL HARBOUR,CANADA,50.332,-115.874
CYDA,DAWSON,DAWSON,CANADA,64.043,-139.128
CYDB,BURWASH,BURWASH,CANADA,61.371,-139.041
CYDC,PRINCETON,PRINCETON,CANADA,49.468,-120.512
CYDF,DEER LAKE,DEER LAKE,CANADA,49.211000000000006,-57.391000000000005
CYDL,DEASE LAKE,DEASE LAKE,CANADA,58.422,-130.032
CYDN,DAUPHIN BARKER,DAUPHIN,CANADA,51.101000000000006,-100.052
CYDQ,DAWSON CREEK,DAWSON CREEK,CANADA,55.742,-120.182
CYED,EDMONTON NAMAO,EDMONTON,CANADA,53.667,-113.46700000000001
CYEG,EDMONTON INTERNATIONAL,EDMONTON,CANADA,53.31,-113.58
CYEK,ARVIAT,ESKIMO POINT,CANADA,61.093999999999994,-94.071
CYEN,ESTEVAN,ESTEVAN,CANADA,49.21,-102.96600000000001
CYET,EDSON,EDSON,CANADA,53.57899999999999,-116.465
CYEU,EUREKA,EUREKA,CANADA,79.995,-85.81299999999999
CYEV,INUVIK MIKE ZUBKO,INUVIK,CANADA,68.304,-133.483
CYFB,IQALUIT,IQALUIT,CANADA,63.756,-68.556
CYFC,FREDERICTON,FREDERICTON,CANADA,45.869,-66.532
CYFE,FORESTVILLE,FORESTVILLE,CANADA,48.746,-69.097
CYFO,FLIN FLON,FLIN FLON,CANADA,54.678000000000004,-101.682
CYFR,FORT RESOLUTION,FORT RESOLUTION,CANADA,61.181000000000004,-113.69
CYFS,FORT SIMPSON,FORT SIMPSON,CANADA,61.76,-121.23700000000001
CYGK,KINGSTON,KINGSTON,CANADA,44.225,-76.597
CYGL,LA GRANDE RIVIERE,LA GRANDE RIVIERE,CANADA,53.625,-77.704
CYGP,GASPE,GASPE,CANADA,48.775,-64.479
CYGQ,GERALDTON GREENSTONE REGIONAL,GERALDTON,CANADA,49.778,-86.939
CYGR,ILES DE LA MADELEINE,ILES DE LA MADELEINE,CANADA,47.425,-61.778
CYGW,KUUJJUARAPIK,KUUJJUARARAPIK,CANADA,55.283,-77.767
CYGX,GILLAM,GILLAM,CANADA,56.35,-94.7
CYHB,HUDSON BAY,HUDSON BAY,CANADA,52.817,-102.311
CYHD,DRYDEN RGNL,DRYDEN,CANADA,49.832,-92.744
CYHI,HOLMAN,HOLMAN ISLAND,CANADA,70.763,-117.806
CYHK,GJOA HAVEN,GJOA HAVEN,CANADA,68.63600000000001,-95.85
CYHM,HAMILTON,HAMILTON,CANADA,43.173,-79.935
CYHU,ST HUBERT,MONTREAL,CANADA,45.516999999999996,-73.417
CYHY,HAY RIVER,HAY RIVER,CANADA,60.84,-115.78299999999999
CYHZ,HALIFAX INTERNATIONAL,HALIFAX,CANADA,44.881,-63.50899999999999
CYIB,ATIKOKAN MUNI,ATIKOKAN,CANADA,48.773999999999994,-91.639
CYIO,POND INLET,POND INLET,CANADA,72.683,-77.967
CYJN,ST JEAN,ST. JEAN,CANADA,45.294,-73.281
CYJT,STEPHENVILLE,STEPHENVILLE,CANADA,48.544,-58.55
CYKA,KAMLOOPS,KAMLOOPS,CANADA,50.702,-120.44200000000001
CYKF,WATERLOO RGNL,WATERLOO,CANADA,43.458999999999996,-80.384
CYKL,SCHEFFERVILLE,SCHEFFERVILLE,CANADA,54.805,-66.805
CYKY,KINDERSLEY,KINDERSLEY,CANADA,51.516999999999996,-109.181
CYKZ,BUTTONVILLE MUNI,TORONTO,CANADA,43.861999999999995,-79.37
CYLD,CHAPLEAU,CHAPLEAU,CANADA,47.82,-83.346
CYLJ,MEADOW LAKE,MEADOW LAKE,CANADA,54.125,-108.523
CYLL,LLOYDMINSTER,LLOYDMINSTER,CANADA,53.309,-110.072
CYLT,ALERT,ALERT,CANADA,82.51799999999999,-62.281000000000006
CYLW,KELOWNA,KELOWNA,CANADA,49.956,-119.37799999999999
CYMA,MAYO,MAYO,CANADA,63.617,-135.86700000000002
CYMJ,MOOSE JAW,MOOSE JAW,CANADA,50.33,-105.559
CYMM,FORT MCMURRAY,FORT MCMURRAY,CANADA,56.653,-111.22200000000001
CYMO,MOOSONEE,MOOSONEE,CANADA,51.291000000000004,-80.608
CYMW,MANIWAKI,MANIWAKI,CANADA,46.273999999999994,-75.99
CYMX,MONTREAL INTERNATIONAL MIRABEL,MONTREAL,CANADA,45.68,-74.039
CYNA,NATASHQUAN,NATASHQUAN,CANADA,50.19,-61.788999999999994
CYND,GATINEAU,GATINEAU,CANADA,45.521,-75.564
CYNM,MATAGAMI,MATAGAMI,CANADA,49.762,-77.803
CYOC,OLD CROW,OLD CROW,CANADA,67.571,-139.839
CYOD,COLD LAKE,COLD LAKE,CANADA,54.405,-110.279
CYOJ,HIGH LEVEL,HIGH LEVEL,CANADA,58.621,-117.165
CYOW,OTTAWA MACDONALD CARTIER INTERNATIONAL,OTTAWA,CANADA,45.323,-75.669
CYPA,PRINCE ALBERT GLASS FIELD,PRINCE ALBERT,CANADA,53.214,-105.67299999999999
CYPE,PEACE RIVER,PEACE RIVER,CANADA,56.227,-117.447
CYPG,SOUTHPORT,PORTAGE-LA-PRAIRIE,CANADA,49.903,-98.275
CYPK,PITT MEADOWS,PITT MEADOWS,CANADA,49.216,-122.71
CYPL,PICKLE LAKE,PICKLE LAKE,CANADA,51.446000000000005,-90.214
CYPN,PORT MENIER,PORT MENIER,CANADA,49.836000000000006,-64.289
CYPQ,PETERBOROUGH,PETERBOROUGH,CANADA,44.23,-78.363
CYPR,PRINCE RUPERT,PRINCE PUPERT,CANADA,54.286,-130.445
CYPY,FORT CHIPEWYAN,FORT CHIPEWYAN,CANADA,58.766999999999996,-111.117
CYQA,MUSKOKA,MUSKOKA,CANADA,44.975,-79.303
CYQB,QUEBEC JEAN LESAGE INTERNATIONAL,QUEBEC,CANADA,46.788000000000004,-71.398
CYQF,RED DEER REGIONAL,RED DEER INDUSTRIAL,CANADA,52.178999999999995,-113.89299999999999
CYQG,WINDSOR,WINDSOR,CANADA,42.276,-82.956
CYQH,WATSON LAKE,WATSON LAKE,CANADA,60.118,-128.822
CYQK,KENORA,KENORA,CANADA,49.788000000000004,-94.363
CYQL,LETHBRIDGE,LETHBRIDGE,CANADA,49.63,-112.8
CYQM,GREATER MONCTON INTERNATIONAL,MONCTON,CANADA,46.111999999999995,-64.679
CYQN,NAKINA,NAKINA,CANADA,50.183,-86.696
CYQQ,COMOX,COMOX,CANADA,49.711000000000006,-124.887
CYQR,REGINA INTERNATIONAL,REGINA,CANADA,50.431999999999995,-104.666
CYQT,THUNDER BAY,THUNDER BAY,CANADA,48.372,-89.324
CYQU,GRANDE PRAIRIE,GRANDE PRAIRIE,CANADA,55.18,-118.885
CYQV,YORKTON MUNI,YORKTON,CANADA,51.265,-102.462
CYQW,NORTH BATTLEFORD,NORTH BATTLEFORD,CANADA,52.769,-108.244
CYQX,GANDER INTERNATIONAL,GANDER,CANADA,48.937,-54.568000000000005
CYQY,SYDNEY,SYDNEY,CANADA,46.161,-60.048
CYQZ,QUESNEL,QUESNEL,CANADA,53.026,-122.51
CYRB,RESOLUTE BAY,RESOLUTE,CANADA,74.717,-94.969
CYRI,RIVIERE DU LOUP,RIVIERE DU LOUP,CANADA,47.763999999999996,-69.585
CYRJ,ROBERVAL,ROBERVAL,CANADA,48.52,-72.266
CYRM,ROCKY MOUNTAIN HOUSE,ROCKY MOUNTAIN HOUSE,CANADA,52.43,-114.904
CYRT,RANKIN INLET,RANKIN INLET,CANADA,62.81100000000001,-92.116
CYSB,SUDBURY,SUDBURY,CANADA,46.625,-80.79899999999999
CYSC,SHERBROOKE,SHERBROOKE,CANADA,45.438,-71.691
CYSJ,SAINT JOHN,ST. JOHN,CANADA,45.316,-65.89
CYSM,FORT SMITH,FORT SMITH,CANADA,60.022,-111.96
CYSR,NANISIVIK,NANISIVIK,CANADA,72.982,-84.61399999999999
CYSU,SUMMERSIDE,SUMMERSIDE,CANADA,46.443000000000005,-63.831
CYSY,SACHS HARBOUR,SACHS HARBOUR,CANADA,71.994,-125.243
CYTE,CAPE DORSET,CAPE DORSET,CANADA,64.23,-76.527
CYTH,THOMPSON,THOMPSON,CANADA,55.801,-97.86399999999999
CYTR,TRENTON,TRENTON,CANADA,44.119,-77.528
CYTS,TIMMINS,TIMMINS,CANADA,48.57,-81.377
CYTZ,CITY CENTRE,TORONTO,CANADA,43.626999999999995,-79.396
CYUB,TUKTOYAKTUK,TUKTOYAKTUK,CANADA,69.433,-133.026
CYUL,MONTREAL INTERNATIONAL DORVAL,MONTREAL,CANADA,45.468,-73.741
CYUT,REPULSE BAY,REPULSE BAY,CANADA,66.521,-86.225
CYUX,HALL BEACH,HALL BEACH,CANADA,68.77600000000001,-81.244
CYUY,ROUYN NORANDA,ROUYN,CANADA,48.206,-78.836
CYVC,LA RONGE,LA RONGE,CANADA,55.151,-105.262
CYVG,VERMILION,VERMILLION,CANADA,53.356,-110.824
CYVM,QIKIQTARJUAQ,BROUGHTON ISLAND,CANADA,67.546,-64.031
CYVO,VAL D OR,VAL D'OR,CANADA,48.053000000000004,-77.783
CYVP,KUUJJUAQ,QUUJJUAQ,CANADA,58.096000000000004,-68.42699999999999
CYVQ,NORMAN WELLS,NORMAN WELLS,CANADA,65.282,-126.8
CYVR,VANCOUVER INTERNATIONAL,VANCOUVER,CANADA,49.195,-123.182
CYVT,BUFFALO NARROWS,BUFFALO NARROWS,CANADA,55.842,-108.41799999999999
CYVV,WIARTON,WIARTON,CANADA,44.746,-81.107
CYWA,PETAWAWA,PETAWAWA,CANADA,45.952,-77.319
CYWG,WINNIPEG INTERNATIONAL,WINNIPEG,CANADA,49.91,-97.234
CYWK,WABUSH,WABUSH,CANADA,52.922,-66.86399999999999
CYWL,WILLIAMS LAKE,WILLIAMS LAKE,CANADA,52.183,-122.054
CYWY,WRIGLEY,WRIGLEY,CANADA,63.208999999999996,-123.43700000000001
CYXC,CRANBROOK,CRANBROOK,CANADA,49.61,-115.78200000000001
CYXD,EDMONTON CITY CENTRE,EDMONTON,CANADA,53.573,-113.521
CYXE,SASKATOON J G DIEFENBAKER INTERNATIONAL,SASKATOON,CANADA,52.17100000000001,-106.7
CYXH,MEDICINE HAT,MEDICINE HAT,CANADA,50.019,-110.721
CYXJ,FORT ST JOHN,FORT SAINT JOHN,CANADA,56.238,-120.74
CYXL,SIOUX LOOKOUT,SIOUX LOOKOUT,CANADA,50.114,-91.904
CYXP,PANGNIRTUNG,PANGNIRTUNG,CANADA,66.145,-65.714
CYXR,TIMISKAMING RGNL,EARLTON,CANADA,47.695,-79.84899999999999
CYXS,PRINCE GEORGE,PRINCE GEORGE,CANADA,53.888999999999996,-122.679
CYXT,TERRACE,TERRACE,CANADA,54.466,-128.577
CYXU,LONDON,LONDON,CANADA,43.036,-81.154
CYXX,ABBOTSFORD,ABBOTSFORD,CANADA,49.025,-122.363
CYXY,WHITEHORSE INTERNATIONAL,WHITEHORSE,CANADA,60.708999999999996,-135.06799999999998
CYYB,NORTH BAY,NORTH BAY,CANADA,46.364,-79.423
CYYC,CALGARY INTERNATIONAL,CALGARY,CANADA,51.114,-114.02
CYYD,SMITHERS,SMITHERS,CANADA,54.825,-127.18299999999999
CYYE,FORT NELSON,FORT NELSON,CANADA,58.836000000000006,-122.59700000000001
CYYF,PENTICTON,PENTICTON,CANADA,49.463,-119.602
CYYG,CHARLOTTETOWN,CHARLOTTETOWN,CANADA,46.29,-63.121
CYYH,TALOYOAK,SPENCE BAY,CANADA,69.547,-93.57700000000001
CYYJ,VICTORIA INTERNATIONAL,VICTORIA,CANADA,48.647,-123.426
CYYL,LYNN LAKE,LYNN LAKE,CANADA,56.864,-101.07600000000001
CYYN,SWIFT CURRENT,SWIFT CURRENT,CANADA,50.292,-107.691
CYYQ,CHURCHILL,CHURCHILL,CANADA,58.739,-94.065
CYYR,GOOSE BAY,GOOSE BAY,CANADA,53.318999999999996,-60.426
CYYT,ST JOHNS INTERNATIONAL,ST. JOHN'S,CANADA,47.619,-52.751999999999995
CYYU,KAPUSKASING,KAPUSKASING,CANADA,49.413999999999994,-82.46799999999999
CYYW,ARMSTRONG,ARMSTRONG,CANADA,50.29,-88.91
CYYY,MONT JOLI,MONT JOLI,CANADA,48.608999999999995,-68.208
CYYZ,LESTER B PEARSON INTERNATIONAL,TORONTO,CANADA,43.677,-79.631
CYZD,DOWNSVIEW,TORONTO,CANADA,43.742,-79.46600000000001
CYZE,GORE BAY MANITOULIN,GORE BAY,CANADA,45.885,-82.568
CYZF,YELLOWKNIFE,YELLOWKNIFE,CANADA,62.463,-114.44
CYZH,SLAVE LAKE,SLAVE LAKE,CANADA,55.293,-114.77799999999999
CYZP,SANDSPIT,SANDSPIT,CANADA,53.254,-131.814
CYZR,CHRIS HADFIELD,SARNIA,CANADA,42.998999999999995,-82.309
CYZT,PORT HARDY,PORT HARDY,CANADA,50.681000000000004,-127.367
CYZU,WHITECOURT,WHITECOURT,CANADA,54.144,-115.787
CYZV,SEPT ILES,SEPT-ILES,CANADA,50.223,-66.266
CYZW,TESLIN,TESLIN,CANADA,60.173,-132.743
CYZX,GREENWOOD,GREENWOOD,CANADA,44.983999999999995,-64.917
CZFA,FARO,FARO,CANADA,62.208,-133.376
CZFM,FORT MCPHERSON,FORT MCPHERSON,CANADA,67.408,-134.86
DAAB,BLIDA,BLIDA,ALGERIA,36.504,2.8139999999999996
DAAD,BOU SAADA,BOU SAADA,ALGERIA,35.333,4.206
DAAE,SOUMMAM,BEJAJA,ALGERIA,36.711999999999996,5.07
DAAG,HOUARI BOUMEDIENE,ALGIER,ALGERIA,36.691,3.215
DAAJ,TISKA,DJANET,ALGERIA,24.293000000000003,9.452
DAAK,BOUFARIK,BOUFARIK,ALGERIA,36.546,2.8760000000000003
DAAM,TELERGHMA,TELERGMA,ALGERIA,36.109,6.364
DAAN,REGGANE,REGGAN,ALGERIA,26.71,0.28600000000000003
DAAP,ILLIZI,ILLIZI,ALGERIA,26.573,8.484
DAAQ,AIN OUSSERA,AIN OUSSERA,ALGERIA,35.525,2.8789999999999996
DAAS,SETIF AIN ARNAT,SETIF,ALGERIA,36.178000000000004,5.324
DAAT,TAMANRASSET,TAMANRASSET,ALGERIA,22.811,5.4510000000000005
DAAV,JIJEL,JIJEL,ALGERIA,36.795,5.872999999999999
DAAY,MECHERIA,MECHERIA,ALGERIA,33.536,-0.242
DAAZ,RELIZANE,RELIZANE,ALGERIA,35.751999999999995,0.626
DABB,ANNABA,ANNABA,ALGERIA,36.821999999999996,7.809
DABC,MOHAMED BOUDIAF INTERNATIONAL,CONSTANTINE,ALGERIA,36.277,6.624
DABS,CHEIKH LARBI TEBESSI,TEBESSA,ALGERIA,35.431,8.121
DAFH,HASSI R MEL,TILREMPT,ALGERIA,32.93,3.312
DAOB,BOU CHEKIF,TIARET,ALGERIA,35.341,1.463
DAOE,BOU SFER,BOU SFER,ALGERIA,35.735,-0.805
DAOF,TINDOUF,TINDOUF,ALGERIA,27.7,-8.167
DAOI,ECH CHELIFF,ECH-CHELIFF,ALGERIA,36.213,1.3319999999999999
DAOL,TAFARAOUI,ORAN,ALGERIA,35.542,-0.532
DAON,ZENATA,TLEMCEN,ALGERIA,35.016999999999996,-1.45
DAOO,ES SENIA,ORAN,ALGERIA,35.624,-0.621
DAOS,SIDI BEL ABBES,SIDI BEL ABBES,ALGERIA,35.172,-0.593
DAOV,GHRISS,GHRISS,ALGERIA,35.208,0.147
DAUA,TOUAT CHEIKH SIDI MOHAMED BELKEBIR,ADRAR,ALGERIA,27.837,-0.18600000000000003
DAUB,BISKRA,BISKRA,ALGERIA,34.793,5.7379999999999995
DAUE,EL GOLEA,EL GOLEA,ALGERIA,30.570999999999998,2.859
DAUG,NOUMERATE,GHARDAIA,ALGERIA,32.384,3.7939999999999996
DAUH,OUED IRARA,HASSI-MESSAOUD,ALGERIA,31.673000000000002,6.14
DAUI,IN SALAH,IN SALAH,ALGERIA,27.250999999999998,2.512
DAUK,SIDI MAHDI,TOUGGOURT,ALGERIA,33.068000000000005,6.0889999999999995
DAUL,LAGHOUAT,LAGHOUAT,ALGERIA,33.764,2.927
DAUT,TIMIMOUN,TIMIMOUN,ALGERIA,29.237,0.276
DAUU,OUARGLA,OUARGLA,ALGERIA,31.916999999999998,5.412999999999999
DAUZ,IN AMENAS,ZARZAITINE,ALGERIA,28.051,9.642999999999999
DBBB,COTONOU CADJEHOUN,COTONOU,BENIN,6.357,2.384
DBBP,PARAKOU,PARAKOU,BENIN,9.357000000000001,2.609
DFFD,OUAGADOUGOU,OUAGADOUGOU,BURKINA FASO,12.353,-1.5119999999999998
DFOO,BOBO DIOULASSO,BOBO-DIOULASSO,BURKINA FASO,11.16,-4.331
DGAA,KOTOKA INTERNATIONAL,ACCRA,GHANA,5.603,-0.168
DGLE,TAMALE,TAMALE,GHANA,9.562999999999999,-0.863
DGLW,WA,WA,GHANA,10.082,-2.5069999999999997
DGSN,SUNYANI,SUNYANI,GHANA,7.362,-2.329
DGTK,TAKORADI,TAKORADI,GHANA,4.893,-1.775
DIAP,ABIDJAN FELIX HOUPHOUET BOIGNY INTERNATIONAL,ABIDJAN,IVORY COAST,5.26,-3.926
DIBK,BOUAKE,BOUAKE,IVORY COAST,7.739,-5.074
DIDL,DALOA,DALOA,IVORY COAST,6.792000000000001,-6.473
DIKO,KORHOGO,KORHOGO,IVORY COAST,9.387,-5.556
DIMN,MAN,MAN,IVORY COAST,7.272,-7.587000000000001
DISP,SAN PEDRO,SAN PEDRO,IVORY COAST,4.747,-6.6610000000000005
DIYO,YAMOUSSOUKRO,YAMOUSSOUKRO,IVORY COAST,6.903,-5.3660000000000005
DNAA,ABUJA NNAMDI AZIKIWE INTERNATIONAL,ABUJA,NIGERIA,9.007,7.263
DNAK,AKURE,AKURE,NIGERIA,7.247000000000001,5.301
DNBE,BENIN,BENIN,NIGERIA,6.317,5.599
DNCA,CALABAR,CALABAR,NIGERIA,4.976,8.347000000000001
DNEN,ENUGU,ENUGU,NIGERIA,6.474,7.562
DNGU,GUSAU,GUSAU,NIGERIA,12.172,6.696000000000001
DNIB,IBADAN,IBADAN,NIGERIA,7.362,3.978
DNIL,ILORIN,ILORIN,NIGERIA,8.44,4.494
DNJO,JOS,JOS,NIGERIA,9.64,8.869
DNKA,KADUNA,KADUNA,NIGERIA,10.696,7.32
DNKN,KANO MALLAM AMINU INTERNATIONAL,KANO,NIGERIA,12.047,8.524
DNMA,MAIDUGURI,MAIDUGURI,NIGERIA,11.855,13.081
DNMK,MAKURDI,MAKURDI,NIGERIA,7.704,8.613999999999999
DNMM,LAGOS MURTALA MUHAMMED,LAGOS,NIGERIA,6.577000000000001,3.321
DNMN,MINNA NEW,MINNA,NIGERIA,9.652000000000001,6.462000000000001
DNPO,PORT HARCOURT INTERNATIONAL,PORT HARTCOURT,NIGERIA,5.015,6.949
DNSO,SADIQ ABUBAKAR III INTERNATIONAL,SOKOTO,NIGERIA,12.915999999999999,5.207000000000001
DNYO,YOLA,YOLA,NIGERIA,9.26,12.43
DNZA,ZARIA,ZARIA,NIGERIA,11.13,7.686
DRRM,MARADI,MARADI,NIGER,13.502,7.127000000000001
DRRN,DIORI HAMANI,NIAMEY,NIGER,13.481,2.184
DRRT,TAHOUA,TAHOUA,NIGER,14.876,5.265
DRZA,MANU DAYAK,AGADEZ,NIGER,16.965,7.997000000000001
DRZD,DIRKOU,DIRKOU,NIGER,18.969,12.869000000000002
DRZF,DIFFA,DIFFA,NIGER,13.373,12.627
DRZR,ZINDER,ZINDER,NIGER,13.779000000000002,8.984
DRZT,TANOUT,TANOUT,NIGER,14.999,8.767000000000001
DTMB,HABIB BOURGUIBA INTERNATIONAL,MONASTIR,TUNISIA,35.758,10.755
DTTA,CARTHAGE,TUNIS,TUNISIA,36.851,10.227
DTTB,SIDI AHMED AIR BASE,BIZERTE,TUNISIA,37.245,9.791
DTTD,REMADA,REMADA,TUNISIA,32.306,10.382
DTTF,GAFSA,GAFSA,TUNISIA,34.422,8.822000000000001
DTTG,GABES,GABES,TUNISIA,33.876999999999995,10.103
DTTI,BORDJ EL AMRI,BORDJ EL AMRI,TUNISIA,36.721,9.943
DTTJ,ZARZIS,DJERBA,TUNISIA,33.875,10.775
DTTR,EL BORMA,EL BORMA,TUNISIA,31.704,9.254
DTTX,THYNA,SFAX,TUNISIA,34.718,10.690999999999999
DTTZ,NEFTA,TOZEUR,TUNISIA,33.94,8.111
DXNG,NIAMTOUGOU,NIATOUGOU,TOGO,9.767000000000001,1.091
DXXX,LOME TOKOIN,LOME,TOGO,6.166,1.254
EBAW,DEURNE,ANTWERP,BELGIUM,51.19,4.463
EBBE,BEAUVECHAIN,BEAUVECHAIN,BELGIUM,50.75899999999999,4.768
EBBL,KLEINE BROGEL,KLEINE BROGEL,BELGIUM,51.168,5.471
EBBR,BRUSSELS NATL,BRUSSELS,BELGIUM,50.902,4.499
EBBT,BRAASCHAAT,BRASSCHAAT,BELGIUM,51.333,4.5
EBBX,BERTRIX JEHONVILLE,BERTRIX,BELGIUM,49.887,5.229
EBCI,BRUSSELS SOUTH,CHARLEROI,BELGIUM,50.458999999999996,4.454
EBCV,CHIEVRES AB,CHIEVRES,BELGIUM,50.576,3.8310000000000004
EBFN,KOKSIJDE,KOKSIJDE,BELGIUM,51.09,2.653
EBFS,FLORENNES,FLORENNES,BELGIUM,50.244,4.649
EBKT,WEVELGEM,KORTRIJK-VEVELGEM,BELGIUM,50.818000000000005,3.208
EBLG,LIEGE,LIEGE,BELGIUM,50.637,5.443
EBOS,OOSTENDE,OSTEND,BELGIUM,51.199,2.862
EBSL,ZUTENDAAL,ZUTENDAAL,BELGIUM,50.948,5.5920000000000005
EBST,ST TRUIDEN,SINT-TRUIDEN,BELGIUM,50.788000000000004,5.193
EBUL,URSEL,URSEL,BELGIUM,51.144,3.4739999999999998
EBWE,WEELDE,WEELDE,BELGIUM,51.395,4.961
EBZR,ZOERSEL,ZOERSEL,BELGIUM,51.266000000000005,4.755
EDAB,BAUTZEN,BAUTZEN,GERMANY,51.193000000000005,14.52
EDAC,ALTENBURG NOBITZ,ALTENBURG,GERMANY,50.982,12.505999999999998
EDAD,DESSAU,DESSAU,GERMANY,51.832,12.186
EDAE,EISENHUTTENSTADT,EISENHUETTENSTADT,GERMANY,52.196999999999996,14.585999999999999
EDAH,HERINGSDORF,HERINGSDORF,GERMANY,53.879,14.152000000000001
EDAK,GROSSENHAIN,SUHL,GERMANY,51.308,13.555
EDAM,MERSEBURG,MUEHLHAUSEN,GERMANY,51.363,11.940999999999999
EDAQ,HALLE OPPIN,HALLE,GERMANY,51.552,12.052999999999999
EDAU,RIESA GOHLIS,RIESA,GERMANY,51.294,13.359000000000002
EDAX,RECHLIN LARZ,RECHLIN-LAERZ,GERMANY,53.306000000000004,12.753
EDAY,STRAUSBERG,STRAUSBERG,GERMANY,52.58,13.915999999999999
EDAZ,SCHONHAGEN,SCHOENHAGEN,GERMANY,52.203,13.159
EDBC,COCHSTEDT SCHNEIDLINGEN,COCHSTEDT,GERMANY,51.856,11.418
EDBG,GOLDSBORO WAYNE MUNI,GOTHA OST,GERMANY,35.461,-77.965
EDBH,BARTH,BARTH,GERMANY,54.338,12.71
EDBJ,JENA SCHONGLEINA,JENA,GERMANY,50.917,11.714
EDBK,KYRITZ,KYRITZ,GERMANY,52.919,12.425
EDBM,MAGDEBURG,MAGDEBURG,GERMANY,52.074,11.626
EDBN,BRANDIS WALDPOLENZ,NEUBRANDENBURG,GERMANY,51.328,12.657
EDBR,ROTHENBURG GORLITZ,ROTHENBURG/OL,GERMANY,51.364,14.952
EDCA,ANKLAM,ANKLAM,GERMANY,53.833,13.669
EDCD,COTTBUS DREWITZ,COTTBUS,GERMANY,51.888999999999996,14.532
EDCK,KOTHEN,KOETHEN,GERMANY,51.721000000000004,11.962
EDCM,KAMENZ,KAMENZ,GERMANY,51.29600000000001,14.129000000000001
EDDB,SCHONEFELD,BERLIN,GERMANY,52.38,13.523
EDDC,DRESDEN,DRESDEN,GERMANY,51.133,13.767000000000001
